                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.0585,                0.63355,                 1.1961,                0.86831,                0.83287,                0.87611,                0.56192,                 1.3982,                 0.7695,                 1.3857,               0.003961,               0.003961,               0.003961
                     64,                 1.0604,                0.63134,                 1.1916,                0.85866,                0.82494,                0.87429,                0.56269,                 1.3893,                0.76652,                 1.3861,               0.003862,               0.003862,               0.003862
                     65,                 1.0529,                0.62694,                 1.1907,                0.88679,                0.79944,                 0.8724,                0.56282,                 1.4016,                0.77044,                 1.3969,               0.003763,               0.003763,               0.003763
                     66,                 1.0498,                0.61821,                 1.1889,                0.86449,                0.83077,                0.87452,                0.56383,                  1.408,                0.75772,                 1.3995,               0.003664,               0.003664,               0.003664
                     67,                 1.0352,                0.61523,                 1.1772,                0.86535,                0.85032,                0.87621,                0.56621,                 1.3968,                0.75109,                  1.397,               0.003565,               0.003565,               0.003565
                     68,                 1.0192,                0.59705,                 1.1704,                0.86352,                 0.8461,                0.87912,                0.57189,                 1.3768,                0.76507,                 1.3767,               0.003466,               0.003466,               0.003466
                     69,                 1.0221,                0.59796,                 1.1747,                0.87233,                0.83268,                0.87921,                0.57038,                 1.3772,                 0.7843,                 1.3771,               0.003367,               0.003367,               0.003367
                     70,                 1.0076,                0.59297,                 1.1663,                0.87442,                0.83983,                0.88305,                0.57774,                  1.373,                0.76933,                 1.3802,               0.003268,               0.003268,               0.003268
                     71,                0.99781,                0.58468,                 1.1639,                0.87566,                0.83705,                0.88153,                0.58064,                 1.3541,                0.75561,                 1.3673,               0.003169,               0.003169,               0.003169
                     72,                0.98876,                0.57749,                 1.1565,                0.87401,                0.83357,                0.88192,                0.57922,                 1.3562,                0.74081,                 1.3719,                0.00307,                0.00307,                0.00307
                     73,                0.98692,                0.57888,                 1.1509,                0.87551,                0.83496,                 0.8779,                0.58147,                 1.3613,                0.75399,                 1.3795,               0.002971,               0.002971,               0.002971
                     74,                0.97312,                0.56629,                 1.1421,                0.88341,                0.84262,                0.88518,                 0.5843,                 1.3493,                0.74655,                 1.3724,               0.002872,               0.002872,               0.002872
                     75,                0.97213,                0.56427,                 1.1414,                0.87871,                0.84252,                0.88074,                0.58818,                 1.3419,                0.73434,                 1.3677,               0.002773,               0.002773,               0.002773
                     76,                0.96571,                0.54935,                  1.137,                0.87938,                0.85296,                0.88214,                0.59005,                 1.3391,                0.72109,                 1.3681,               0.002674,               0.002674,               0.002674
                     77,                0.95488,                0.54605,                 1.1333,                0.88547,                 0.8507,                0.88297,                0.59423,                  1.335,                0.71909,                 1.3662,               0.002575,               0.002575,               0.002575
                     78,                0.94243,                0.54235,                 1.1239,                0.89198,                0.84471,                0.88374,                0.59506,                 1.3357,                0.71921,                  1.364,               0.002476,               0.002476,               0.002476
                     79,                0.93955,                0.54121,                 1.1246,                0.89025,                0.84167,                0.88195,                 0.5957,                 1.3315,                0.72044,                 1.3644,               0.002377,               0.002377,               0.002377
                     80,                 0.9313,                0.53252,                 1.1173,                0.88114,                 0.8415,                0.88407,                 0.5972,                 1.3185,                0.72713,                 1.3537,               0.002278,               0.002278,               0.002278
                     81,                0.91856,                0.53389,                 1.1129,                0.88593,                0.83635,                0.88368,                0.59803,                 1.3126,                0.72478,                 1.3473,               0.002179,               0.002179,               0.002179
                     82,                0.90414,                0.52053,                 1.1003,                0.88914,                0.84123,                0.88784,                0.59857,                 1.3113,                0.71691,                 1.3457,                0.00208,                0.00208,                0.00208
