                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.0916,                0.65621,                 1.2167,                0.86216,                0.81476,                0.87112,                0.55444,                 1.4032,                0.78026,                 1.4065,               0.005578,               0.005578,               0.005578
                     70,                 1.0824,                0.64884,                 1.2047,                0.86852,                0.82342,                0.87614,                0.55627,                  1.407,                0.76736,                 1.4082,               0.005512,               0.005512,               0.005512
                     71,                 1.0672,                0.63713,                 1.1979,                0.85851,                0.82395,                0.86764,                0.55544,                 1.4165,                0.76601,                 1.4166,               0.005446,               0.005446,               0.005446
                     72,                 1.0673,                0.63553,                 1.1958,                0.85946,                0.82103,                0.86655,                0.55226,                 1.4308,                0.76193,                  1.424,                0.00538,                0.00538,                0.00538
                     73,                  1.062,                0.63638,                 1.1893,                0.88445,                0.79875,                0.86489,                0.55428,                 1.4199,                0.78018,                 1.4168,               0.005314,               0.005314,               0.005314
                     74,                 1.0524,                0.62215,                 1.1784,                0.86351,                0.81507,                0.86427,                0.55823,                 1.4162,                0.76725,                 1.4118,               0.005248,               0.005248,               0.005248
                     75,                  1.053,                0.62856,                 1.1851,                 0.8705,                0.82383,                0.86911,                0.56338,                 1.4014,                0.76159,                 1.4068,               0.005182,               0.005182,               0.005182
                     76,                 1.0414,                0.61444,                 1.1771,                0.85063,                0.84072,                0.86944,                0.56186,                 1.3925,                0.76673,                 1.4005,               0.005116,               0.005116,               0.005116
                     77,                 1.0332,                0.60777,                 1.1745,                0.85329,                0.83148,                0.86939,                0.56465,                 1.3865,                0.76851,                  1.401,                0.00505,                0.00505,                0.00505
                     78,                 1.0335,                0.60714,                 1.1745,                0.86155,                0.84262,                0.87584,                0.56682,                 1.3875,                0.75372,                 1.4005,               0.004984,               0.004984,               0.004984
                     79,                 1.0204,                0.60226,                 1.1653,                0.85872,                0.84958,                0.87611,                  0.572,                 1.3785,                0.74554,                 1.3932,               0.004918,               0.004918,               0.004918
                     80,                 1.0142,                0.60183,                 1.1645,                0.86444,                 0.8304,                 0.8718,                0.57459,                 1.3682,                0.75301,                 1.3824,               0.004852,               0.004852,               0.004852
                     81,                  1.009,                0.59842,                 1.1616,                0.86345,                  0.819,                0.86999,                0.57715,                 1.3589,                0.76489,                 1.3715,               0.004786,               0.004786,               0.004786
                     82,                0.99665,                0.59217,                 1.1543,                0.85923,                0.84161,                0.87098,                0.57486,                 1.3686,                0.77439,                 1.3802,                0.00472,                0.00472,                0.00472
                     83,                0.99859,                0.59003,                  1.157,                 0.8605,                0.83764,                0.87275,                0.57453,                 1.3756,                0.75629,                 1.3925,               0.004654,               0.004654,               0.004654
                     84,                 0.9855,                 0.5768,                  1.143,                0.86107,                0.83705,                0.87244,                0.57697,                 1.3684,                0.76094,                 1.3915,               0.004588,               0.004588,               0.004588
                     85,                0.98541,                0.57627,                 1.1454,                0.86317,                0.83983,                0.87585,                 0.5798,                 1.3476,                0.75914,                 1.3784,               0.004522,               0.004522,               0.004522
